interaction;name
LILRA6;DOCK2
CD70;C1QB
LMNB1;EZH2
FAM111B;EZH2
EVI2B;SLC1A3
GFI1;SLC1A3
CEP55;CDK1
CD2;BCL11B
GPR174;DOCK2
CCR1;SLC37A2
E2F7;CKAP2
ZFP2;PFKFB4
OSCAR;DOCK2
KIF11;CDK1
CCNA2;CDK1
LCORL;CKAP2
ORC1;RRM1
CKAP2L;CLSPN
KIF15;CKAP2
CCNE1;EZH2
ORC1;CLSPN
CDC20;FOXM1
CDHR2;IL33
KLHDC7B-DT;C1QB
KYNU;C1QB
PDCD1;APBB1IP
MTBP;EMCN
DHFR;CLSPN
CEP55;CLSPN
TYMP;DOCK2
PLEK;C1QB
ANTXR2;FOXM1
DHFR;C21orf58
MND1;CDK1
NFAM1;APBB1IP
PTAFR;DOCK2
RFC3;CDK1
CCL5;BCL11B
GPR171;SLC37A2
LINC01943;SLC37A2
ICAM1;DOCK2
WDR76;CLSPN
SAPCD2;FOXM1
NCF2;C1QB
KIF11;FOXM1
CDCA3;FOXM1
LINC02195;C1QB
FAM247D;FAM247A
CD8A;BCL11B
TAP1;TNFRSF18
KIF14;CDK1
HOXA11;RANBP1
PTAFR;C1QB
APOL1;APBB1IP
CHAF1B;CKAP2
SHMT1;C21orf58
IFI30;SLC1A3
MAST4;PFKFB4
IL21R-AS1;SLC37A2
NFE2L3;SLC1A3
CRTAM;SLC37A2
TNFRSF18;DOCK2
CXCL10;TNFRSF18
RIMBP3C;RIMBP3B
ZGRF1;EZH2
CDCA2;CDK1
SLC12A8;APBB1IP
SAMSN1;SLC1A3
NT5DC2;FOXM1
MELK;EZH2
ANKRD9;CLSPN
CYTIP;C1QB
SDS;APBB1IP
BIRC3;TNFRSF18
OASL;TNFRSF18
CDC25C;EZH2
KNL1;CLSPN
APOL6;C1QB
NCAPG;EZH2
IGSF6;SLC37A2
CENPI;EZH2
SKA3;FOXM1
SLAMF7;APBB1IP
SBK1;CNIH2
UBE2T;EZH2
TTK;FOXM1
OLR1;SLC1A3
FMNL1;SLC37A2
ETV7;DOCK2
CENPM;GINS3
CASP1;TNFRSF18
APOC1;TNFRSF18
CXCL9;TNFRSF18
CD48;TNFRSF18
DEPDC1;CKAP2
