interaction;name
GAS2L3;NCAPH
KLK5;EIF4EBP1
MKI67;PBK
SLC25A40;RFC3
NXT2;ASB5
RAD54B;GASK1B
RASGEF1B;C1GALT1
RAB42;LRRC55
RTL3;CLHC1
PCOLCE;BATF
PI15;SLC12A5-AS1
CASZ1;CENPH
ANP32E;TFDP1
PTGS1;ADAMTSL5
ANO1;ASB5
SLC25A40;PAX6
ZBP1;DOCK2
LAMC2;SCAT2
LINC01410;ABCD2
SRGAP2D;PAX6
DACT2;MMP1
FAM111B;MKI67
DENND2D;EVI2B
REV3L;MZT1
ZC3H12A;DDIAS
PLXNA1;WWC3
PKIB;ALYREF
BCL11B;EVI2B
PI4K2B;TFDP1
AFAP1L2;JAM2
PPIF;LOC105369147
HGF;CENPH
MYL11;E2F3
ZNF367;MZT1
ZFP2;HOXD4
RAC2;NCF2
ADCY4;ASB5
C1QL4;APOBEC3G
TCF21;HOXD4
ZNF267;RFC3
GLB1L3;LRRC55
SLAMF7;EOMES
DHDH;DRD2
SRD5A2;HOXD4
DIPK2B;RFC3
CBR3;SYTL3
ARK2C;LINC01605
RNU2-1;C1GALT1
MAST1;BCAR3
ITGA9;KCNMA1
RPA3;ZDHHC13
NCAPG;MELK
ESPL1;LINC01426
ZNF726;ALYREF
MICB-DT;LINC01016
CD2;DENND2D
E2F8;MIR675
KNSTRN;MELK
ENHO;CHRM3
TMEM132E;JAM2
LOC105375715;LYVE1
FAM72B;TFDP1
SIRPG;EVI2B
CYTOR;MMP1
TENM2;SLC7A1
ABCD2;HOXD3
EPO;ADAMTSL5
KIF2C;GASK1B
MYT1;BCAR3
PILRA;STAC3
KIFC1;MELK
IL4I1;DDIAS
OASL;IFI44
SLC20A1;ADCY5
TMEM176B;ETV7
SALL1;DDIAS
ADM;SLC2A12
PAFAH1B3;GAPDH-DT
KIF23;STAC3
SLC7A7;SBK1
CENPM;IGFBP4
DSCAML1;TUBB4B
NFKBIE;RFC3
CTSS;DENND2D
IL12RB1;SLAMF8
PCDHAC1;BRCA1
CFAP20DC;FANCG
DHFR;ZNF114
CCL5;EOMES
PLP1;NEFL
DAAM1;ASB5
CIP2A;MZT1
ANO1;DDIAS
CDKN2C;PIMREG
PLA2G7;C1GALT1
RAD51;MMP1
F2RL2;BATF
TMCC2;LOC105377402
PHLDA2;PKD2L1
SAMD5;CENPH
CIAO2A;PAX6
TACR2;DENND2D
CIMIP2A;RFC3
IL2RG;EVI2B
AKR1C2;AKR1C3
MMS22L;LOC102723834
KEL;NCAPH
TMEM156;P2RY10
ITIH5;ZGRF1
FMNL1;EVI2B
UBE2QL1;RGS1
TBX18;CHRNA7
TBC1D31;OLFML2B
MICB-DT;EIF4EBP1
NHSL3;HOXD3
PRIM1;JAK3
ADAMTS19;FAAP24
KCNN4;CENPH
CKS1B;IGFBP4
SKAP2;IGFBP4
DENND2D;EOMES
FMNL1;ETV7
HK3;DOCK2
WWC3;CENPH
LMNB1;WDR76
NUF2;GASK1B
TEAD4;HOXD4
MZT1;ASB5
EML2-AS1;APOBEC3A
DRD2;LINC01016
ITGA10;GATA5
CDC42EP2;DRD2
ISOC1;RFC3
EPHB1;KY
NRN1;PSRC1
FAM72A;VSTM4
BIRC3;SLC37A2
TYMSOS;PMAIP1
BOK;DRD2
ANKRD9;HOXD3
IL7R;COL27A1
CEP15;TFDP1
THRIL;HOXD4
TYMP;BATF
DHRS12;GPR19
GTF2A1L;MMP1
RIN1;TRPV2
BARD1;PAX6
AURKA;FAAP24
FEN1;TUBB4B
HOXB3;ZDHHC13
GMIP;BCAR3
ALYREF;IGFBP4
C1GALT1;DRD2
RIPOR3;CXCL12
DCST2;PAX6
FANCB;DDIAS
APOBEC3H;WDR62
ARHGEF3;MKI67
LINC01605;FAAP24
ENO1;LINC01016
LOC100294145;TIFA
TFEC;SYTL3
NEURL1;TIFA
FOXD3-AS1;LUCAT1
GMIP;MIMT1
GINS4;H2BC20P
MIR3198-2;CENPH
SH2D1A;P2RY10
ITK;C1GALT1
TMEM106C;SP140L
TEDC2;DRD2
RGMB;SYTL3
CDT1;C1GALT1
MTBP;ALYREF
LYVE1;EIF4EBP1
ATAD5;LOC101929657
PI4K2B;ALYREF
PDE8B;GATA5
DBI;MMP1
IL1B;IFI44
SPIB;SLAMF8
SPC25;PBK
SGO1;TENT5C
SH3BGRL3;ASB5
KIF20A;MKI67
SYTL4;ARHGEF3
PRIM1;OLFML2B
EFNA5;PBK
SLC7A7;MSC-AS1
GPR183;APOBEC3G
C1QC;DOCK2
STON2;ALYREF
NUF2;PIMREG
DNMT3B;ALYREF
CD2;CD52
GK;ALYREF
RHBDL3;HOXD4
UAP1;DDIAS
JAKMIP3;C1GALT1
SPOCD1;CEP15
ITGAX;P2RY10
EXO1;DRD2
DENND2D;ETV7
P3H2;PBK
VSIG10L2;TFDP1
PSTPIP1;ASB5
