"interaction","name","selected","shared interaction","shared name"
"interacts with","SLAMF7 (interacts with) CD3E","false","interacts with","SLAMF7 (interacts with) CD3E"
"interacts with","SLAMF7 (interacts with) ARL4C","false","interacts with","SLAMF7 (interacts with) ARL4C"
"interacts with","SLAMF7 (interacts with) TRAT1","false","interacts with","SLAMF7 (interacts with) TRAT1"
"interacts with","SLAMF7 (interacts with) SP140","false","interacts with","SLAMF7 (interacts with) SP140"
"interacts with","SLAMF7 (interacts with) LAIR2","false","interacts with","SLAMF7 (interacts with) LAIR2"
"interacts with","SLAMF7 (interacts with) PYHIN1","false","interacts with","SLAMF7 (interacts with) PYHIN1"
"interacts with","SLAMF7 (interacts with) PTPN22","false","interacts with","SLAMF7 (interacts with) PTPN22"
"interacts with","SLAMF7 (interacts with) KLHDC7B-DT","false","interacts with","SLAMF7 (interacts with) KLHDC7B-DT"
"interacts with","SLAMF7 (interacts with) LILRB4","false","interacts with","SLAMF7 (interacts with) LILRB4"
"interacts with","SLAMF7 (interacts with) CD8A","false","interacts with","SLAMF7 (interacts with) CD8A"
"interacts with","SLAMF7 (interacts with) CD8B","false","interacts with","SLAMF7 (interacts with) CD8B"
"interacts with","SLAMF7 (interacts with) SIGLEC10","false","interacts with","SLAMF7 (interacts with) SIGLEC10"
"interacts with","SLAMF7 (interacts with) GPR171","false","interacts with","SLAMF7 (interacts with) GPR171"
"interacts with","SLAMF7 (interacts with) ACY3","false","interacts with","SLAMF7 (interacts with) ACY3"
"interacts with","SLAMF7 (interacts with) SIGLEC8","false","interacts with","SLAMF7 (interacts with) SIGLEC8"
"interacts with","SLAMF7 (interacts with) LINC02195","false","interacts with","SLAMF7 (interacts with) LINC02195"
"interacts with","SLAMF7 (interacts with) USP30-AS1","false","interacts with","SLAMF7 (interacts with) USP30-AS1"
"interacts with","SLAMF7 (interacts with) CYTIP","false","interacts with","SLAMF7 (interacts with) CYTIP"
"interacts with","SLAMF7 (interacts with) CCR7","false","interacts with","SLAMF7 (interacts with) CCR7"
"interacts with","SLAMF7 (interacts with) ZBED2","false","interacts with","SLAMF7 (interacts with) ZBED2"
"interacts with","SLAMF7 (interacts with) GZMA","false","interacts with","SLAMF7 (interacts with) GZMA"
"interacts with","SLAMF7 (interacts with) CALHM6","false","interacts with","SLAMF7 (interacts with) CALHM6"
"interacts with","SLAMF7 (interacts with) APOC2","false","interacts with","SLAMF7 (interacts with) APOC2"
"interacts with","SLAMF7 (interacts with) LINC01943","false","interacts with","SLAMF7 (interacts with) LINC01943"
"interacts with","SLAMF7 (interacts with) IL21R","false","interacts with","SLAMF7 (interacts with) IL21R"
"interacts with","SLAMF7 (interacts with) ETV7","false","interacts with","SLAMF7 (interacts with) ETV7"
"interacts with","SLAMF7 (interacts with) ADAMDEC1","false","interacts with","SLAMF7 (interacts with) ADAMDEC1"
"interacts with","SLAMF7 (interacts with) HECW2-AS1","false","interacts with","SLAMF7 (interacts with) HECW2-AS1"
"interacts with","SLAMF7 (interacts with) IGKJ5","false","interacts with","SLAMF7 (interacts with) IGKJ5"
"interacts with","SLAMF7 (interacts with) IL2RG","false","interacts with","SLAMF7 (interacts with) IL2RG"
"interacts with","SLAMF7 (interacts with) IFI30","false","interacts with","SLAMF7 (interacts with) IFI30"
"interacts with","SLAMF7 (interacts with) BCL2A1","false","interacts with","SLAMF7 (interacts with) BCL2A1"
"interacts with","SLAMF7 (interacts with) GPR174","false","interacts with","SLAMF7 (interacts with) GPR174"
"interacts with","SLAMF7 (interacts with) IL18","false","interacts with","SLAMF7 (interacts with) IL18"
"interacts with","SLAMF7 (interacts with) APOC4-APOC2","false","interacts with","SLAMF7 (interacts with) APOC4-APOC2"
"interacts with","SLAMF7 (interacts with) IL12RB1","false","interacts with","SLAMF7 (interacts with) IL12RB1"
"interacts with","SLAMF7 (interacts with) LOC102724765","false","interacts with","SLAMF7 (interacts with) LOC102724765"
