"interaction","name","selected","shared interaction","shared name"
"interacts with","TNFRSF9 (interacts with) SLAMF7","false","interacts with","TNFRSF9 (interacts with) SLAMF7"
"interacts with","TNFRSF9 (interacts with) ZBED2","false","interacts with","TNFRSF9 (interacts with) ZBED2"
"interacts with","TNFRSF9 (interacts with) SASH3","false","interacts with","TNFRSF9 (interacts with) SASH3"
"interacts with","TNFRSF9 (interacts with) ICOS","false","interacts with","TNFRSF9 (interacts with) ICOS"
"interacts with","TNFRSF9 (interacts with) ITGAL","false","interacts with","TNFRSF9 (interacts with) ITGAL"
"interacts with","EFNA5 (interacts with) MIR3198-2","false","interacts with","EFNA5 (interacts with) MIR3198-2"
"interacts with","EFNA5 (interacts with) ACTA1","false","interacts with","EFNA5 (interacts with) ACTA1"
"interacts with","MIR3198-2 (interacts with) PABPC1L","false","interacts with","MIR3198-2 (interacts with) PABPC1L"
"interacts with","LILRA5 (interacts with) LAPTM5","false","interacts with","LILRA5 (interacts with) LAPTM5"
"interacts with","LILRA5 (interacts with) APOBR","false","interacts with","LILRA5 (interacts with) APOBR"
"interacts with","LILRA5 (interacts with) CLDN14","false","interacts with","LILRA5 (interacts with) CLDN14"
"interacts with","LILRA5 (interacts with) GPR174","false","interacts with","LILRA5 (interacts with) GPR174"
"interacts with","LILRA5 (interacts with) NFAM1","false","interacts with","LILRA5 (interacts with) NFAM1"
"interacts with","LILRA5 (interacts with) CTSD","false","interacts with","LILRA5 (interacts with) CTSD"
"interacts with","LILRA5 (interacts with) CCL5","false","interacts with","LILRA5 (interacts with) CCL5"
"interacts with","LILRA5 (interacts with) SPHK1","false","interacts with","LILRA5 (interacts with) SPHK1"
"interacts with","LILRA5 (interacts with) CYTOR","false","interacts with","LILRA5 (interacts with) CYTOR"
"interacts with","LILRA5 (interacts with) CD84","false","interacts with","LILRA5 (interacts with) CD84"
"interacts with","LILRA5 (interacts with) KLHDC7B-DT","false","interacts with","LILRA5 (interacts with) KLHDC7B-DT"
"interacts with","LILRA5 (interacts with) MIR4435-2HG","false","interacts with","LILRA5 (interacts with) MIR4435-2HG"
"interacts with","LILRA5 (interacts with) IFI27","false","interacts with","LILRA5 (interacts with) IFI27"
"interacts with","LILRA5 (interacts with) SLC37A2","false","interacts with","LILRA5 (interacts with) SLC37A2"
"interacts with","LILRA5 (interacts with) LINC01871","false","interacts with","LILRA5 (interacts with) LINC01871"
"interacts with","LILRA5 (interacts with) IFI30","false","interacts with","LILRA5 (interacts with) IFI30"
"interacts with","LILRA5 (interacts with) OAS2","false","interacts with","LILRA5 (interacts with) OAS2"
"interacts with","LILRA5 (interacts with) LINC02541","false","interacts with","LILRA5 (interacts with) LINC02541"
"interacts with","LILRA5 (interacts with) ADAMDEC1","false","interacts with","LILRA5 (interacts with) ADAMDEC1"
"interacts with","LILRA5 (interacts with) MIR147B","false","interacts with","LILRA5 (interacts with) MIR147B"
"interacts with","LILRA5 (interacts with) ITGB2","false","interacts with","LILRA5 (interacts with) ITGB2"
"interacts with","LILRA5 (interacts with) SPN","false","interacts with","LILRA5 (interacts with) SPN"
"interacts with","LILRA5 (interacts with) CD180","false","interacts with","LILRA5 (interacts with) CD180"
